Library,Iteration,Release,crash,exception,hangs,flaky,notarget,valid
torch,1,2.0.0,0,2918,0,0,366,1370
torch,1,2.0.1,0,2902,1,0,345,1367
torch,1,2.1.0,0,1869,3,0,301,954
torch,2,2.0.0,0,2974,1,0,370,1366
torch,2,2.0.1,0,2888,1,0,362,1302
torch,2,2.1.0,0,1885,4,0,298,954
torch,3,2.0.0,0,2093,0,0,244,1000
torch,3,2.0.1,0,1968,0,0,223,934
torch,3,2.1.0,0,1877,4,0,308,958
torch,4,2.0.0,0,2999,2,0,371,1391
torch,4,2.0.1,0,2899,1,0,352,1344
torch,4,2.1.0,0,1840,8,0,293,938
torch,5,2.0.0,0,2206,3,0,335,1102
torch,5,2.0.1,0,2134,6,0,305,1080
torch,5,2.1.0,0,1866,2,0,308,960
tf,1,2.11.0,0,679,0,0,142,416
tf,1,2.12.0,0,468,0,0,111,271
tf,1,2.13.0,0,569,0,0,128,330
tf,1,2.14.0,0,562,0,0,130,323
tf,2,2.11.0,0,683,0,0,147,429
tf,2,2.12.0,0,458,0,0,111,260
tf,2,2.13.0,0,555,0,0,123,322
tf,2,2.14.0,0,564,0,0,128,331
tf,3,2.11.0,0,681,0,0,143,423
tf,3,2.12.0,0,437,0,0,107,252
tf,3,2.13.0,0,566,0,0,131,334
tf,3,2.14.0,0,552,0,0,126,331
tf,4,2.11.0,0,683,0,0,149,433
tf,4,2.12.0,0,762,0,0,165,485
tf,4,2.13.0,0,572,0,0,130,331
tf,4,2.14.0,0,501,0,0,118,289
tf,5,2.11.0,0,672,0,0,148,425
tf,5,2.12.0,0,765,0,0,165,484
tf,5,2.13.0,0,576,0,0,128,342
tf,5,2.14.0,0,738,0,0,180,464
