Library,Iteration,Release,exception,success,crash,timeout
torch,1,2.0.0,179845,97913,17,16
torch,1,2.0.1,182431,97935,9,19
torch,1,2.1.0,172643,96917,11,20
torch,2,2.0.0,158493,78888,4,42
torch,2,2.0.1,156417,79468,6,40
torch,2,2.1.0,157951,83413,4,41
torch,3,2.0.0,154185,76820,6,43
torch,3,2.0.1,152278,78498,6,44
torch,3,2.1.0,154054,81834,8,39
torch,4,2.0.0,152893,78295,8,42
torch,4,2.0.1,149580,75659,9,41
torch,4,2.1.0,148245,79470,7,43
torch,5,2.0.0,172453,92703,15,16
torch,5,2.0.1,183253,100388,6,22
torch,5,2.1.0,177384,98622,10,19
tf,1,2.11.0,29987,150320,4,4
tf,1,2.12.0,26768,145247,6,4
tf,1,2.13.0,19935,80886,16,2
tf,1,2.14.0,33938,137200,7,9
tf,2,2.11.0,31629,147982,4,8
tf,2,2.12.0,26673,126386,13,9
tf,2,2.13.0,24557,130519,14,7
tf,2,2.14.0,36937,141685,5,7
tf,3,2.11.0,31204,148764,3,5
tf,3,2.12.0,28795,145447,9,4
tf,3,2.13.0,26547,139889,10,6
tf,3,2.14.0,34689,135059,6,7
tf,4,2.11.0,30841,144966,6,6
tf,4,2.12.0,27815,144138,7,3
tf,4,2.13.0,27701,146167,10,3
tf,4,2.14.0,37844,141758,5,5
tf,5,2.11.0,32107,148245,4,5
tf,5,2.12.0,29938,152768,4,4
tf,5,2.13.0,24586,134166,13,6
tf,5,2.14.0,37104,142990,6,1
